"Date","County","Value"
2020-06-06,"Carlow",168
2020-06-06,"Cavan",858
2020-06-06,"Clare",368
2020-06-06,"Cork",1529
2020-06-06,"Donegal",471
2020-06-06,"Dublin",12158
2020-06-06,"Galway",481
2020-06-06,"Kerry",308
2020-06-06,"Kildare",1423
2020-06-06,"Kilkenny",345
2020-06-06,"Laois",262
2020-06-06,"Leitrim",84
2020-06-06,"Limerick",583
2020-06-06,"Longford",285
2020-06-06,"Louth",776
2020-06-06,"Mayo",570
2020-06-06,"Meath",804
2020-06-06,"Monaghan",530
2020-06-06,"Offaly",479
2020-06-06,"Roscommon",337
2020-06-06,"Sligo",128
2020-06-06,"Tipperary",540
2020-06-06,"Waterford",154
2020-06-06,"Westmeath",671
2020-06-06,"Wexford",216
2020-06-06,"Wicklow",670
2020-06-05,"Carlow",168
2020-06-05,"Cavan",858
2020-06-05,"Clare",368
2020-06-05,"Cork",1529
2020-06-05,"Donegal",471
2020-06-05,"Dublin",12139
2020-06-05,"Galway",481
2020-06-05,"Kerry",308
2020-06-05,"Kildare",1423
2020-06-05,"Kilkenny",344
2020-06-05,"Laois",262
2020-06-05,"Leitrim",84
2020-06-05,"Limerick",582
2020-06-05,"Longford",285
2020-06-05,"Louth",777
2020-06-05,"Mayo",570
2020-06-05,"Meath",806
2020-06-05,"Monaghan",528
2020-06-05,"Offaly",479
2020-06-05,"Roscommon",337
2020-06-05,"Sligo",128
2020-06-05,"Tipperary",540
2020-06-05,"Waterford",154
2020-06-05,"Westmeath",671
2020-06-05,"Wexford",214
2020-06-05,"Wicklow",670
2020-06-04,"Carlow",168
2020-06-04,"Cavan",858
2020-06-04,"Clare",368
2020-06-04,"Cork",1528
2020-06-04,"Donegal",472
2020-06-04,"Dublin",12127
2020-06-04,"Galway",481
2020-06-04,"Kerry",308
2020-06-04,"Kildare",1423
2020-06-04,"Kilkenny",344
2020-06-04,"Laois",261
2020-06-04,"Leitrim",84
2020-06-04,"Limerick",582
2020-06-04,"Longford",284
2020-06-04,"Louth",777
2020-06-04,"Mayo",570
2020-06-04,"Meath",805
2020-06-04,"Monaghan",528
2020-06-04,"Offaly",479
2020-06-04,"Roscommon",337
2020-06-04,"Sligo",128
2020-06-04,"Tipperary",540
2020-06-04,"Waterford",154
2020-06-04,"Westmeath",671
2020-06-04,"Wexford",214
2020-06-04,"Wicklow",668
2020-06-03,"Carlow",169
2020-06-03,"Cavan",854
2020-06-03,"Clare",369
2020-06-03,"Cork",1527
2020-06-03,"Donegal",472
2020-06-03,"Dublin",12118
2020-06-03,"Galway",481
2020-06-03,"Kerry",308
2020-06-03,"Kildare",1419
2020-06-03,"Kilkenny",340
2020-06-03,"Laois",260
2020-06-03,"Leitrim",83
2020-06-03,"Limerick",582
2020-06-03,"Longford",284
2020-06-03,"Louth",777
2020-06-03,"Mayo",570
2020-06-03,"Meath",804
2020-06-03,"Monaghan",527
2020-06-03,"Offaly",479
2020-06-03,"Roscommon",337
2020-06-03,"Sligo",129
2020-06-03,"Tipperary",540
2020-06-03,"Waterford",154
2020-06-03,"Westmeath",671
2020-06-03,"Wexford",213
2020-06-03,"Wicklow",668
2020-06-02,"Carlow",169
2020-06-02,"Cavan",846
2020-06-02,"Clare",369
2020-06-02,"Cork",1521
2020-06-02,"Donegal",477
2020-06-02,"Dublin",12109
2020-06-02,"Galway",481
2020-06-02,"Kerry",308
2020-06-02,"Kildare",1419
2020-06-02,"Kilkenny",339
2020-06-02,"Laois",260
2020-06-02,"Leitrim",83
2020-06-02,"Limerick",582
2020-06-02,"Longford",284
2020-06-02,"Louth",776
2020-06-02,"Mayo",570
2020-06-02,"Meath",802
2020-06-02,"Monaghan",521
2020-06-02,"Offaly",479
2020-06-02,"Roscommon",337
2020-06-02,"Sligo",129
2020-06-02,"Tipperary",540
2020-06-02,"Waterford",152
2020-06-02,"Westmeath",670
