"Date","HSE area","Key","Value"
2020-04-22,"HSE East","Foreign travel",84
2020-04-22,"HSE East","No Foreign travel",2535
2020-04-22,"HSE East","Not specified",140
2020-04-22,"HSE Midlands","Foreign travel",7
2020-04-22,"HSE Midlands","No Foreign travel",195
2020-04-22,"HSE Midlands","Not specified",83
2020-04-22,"HSE Mid-West","Foreign travel",15
2020-04-22,"HSE Mid-West","No Foreign travel",86
2020-04-22,"HSE Mid-West","Not specified",129
2020-04-22,"HSE North-East","Foreign travel",6
2020-04-22,"HSE North-East","No Foreign travel",25
2020-04-22,"HSE North-East","Not specified",504
2020-04-22,"HSE North-West","Foreign travel",8
2020-04-22,"HSE North-West","No Foreign travel",97
2020-04-22,"HSE North-West","Not specified",98
2020-04-22,"HSE South-East","Foreign travel",5
2020-04-22,"HSE South-East","No Foreign travel",3
2020-04-22,"HSE South-East","Not specified",190
2020-04-22,"HSE South","Foreign travel",20
2020-04-22,"HSE South","No Foreign travel",107
2020-04-22,"HSE South","Not specified",171
2020-04-22,"HSE West","Foreign travel",7
2020-04-22,"HSE West","No Foreign travel",86
2020-04-22,"HSE West","Not specified",112
2020-04-21,"HSE East","Foreign travel",84
2020-04-21,"HSE East","No Foreign travel",2468
2020-04-21,"HSE East","Not specified",141
2020-04-21,"HSE Midlands","Foreign travel",7
2020-04-21,"HSE Midlands","No Foreign travel",182
2020-04-21,"HSE Midlands","Not specified",77
2020-04-21,"HSE Mid-West","Foreign travel",15
2020-04-21,"HSE Mid-West","No Foreign travel",86
2020-04-21,"HSE Mid-West","Not specified",124
2020-04-21,"HSE North-East","Foreign travel",6
2020-04-21,"HSE North-East","No Foreign travel",24
2020-04-21,"HSE North-East","Not specified",462
2020-04-21,"HSE North-West","Foreign travel",8
2020-04-21,"HSE North-West","No Foreign travel",94
2020-04-21,"HSE North-West","Not specified",90
2020-04-21,"HSE South-East","Foreign travel",5
2020-04-21,"HSE South-East","No Foreign travel",3
2020-04-21,"HSE South-East","Not specified",182
2020-04-21,"HSE South","Foreign travel",20
2020-04-21,"HSE South","No Foreign travel",107
2020-04-21,"HSE South","Not specified",162
2020-04-21,"HSE West","Foreign travel",7
2020-04-21,"HSE West","No Foreign travel",86
2020-04-21,"HSE West","Not specified",105
2020-04-20,"HSE East","Foreign travel",80
2020-04-20,"HSE East","No Foreign travel",2407
2020-04-20,"HSE East","Not specified",131
2020-04-20,"HSE Midlands","Foreign travel",7
2020-04-20,"HSE Midlands","No Foreign travel",176
2020-04-20,"HSE Midlands","Not specified",73
2020-04-20,"HSE Mid-West","Foreign travel",15
2020-04-20,"HSE Mid-West","No Foreign travel",85
2020-04-20,"HSE Mid-West","Not specified",118
2020-04-20,"HSE North-East","Foreign travel",6
2020-04-20,"HSE North-East","No Foreign travel",20
2020-04-20,"HSE North-East","Not specified",439
2020-04-20,"HSE North-West","Foreign travel",8
2020-04-20,"HSE North-West","No Foreign travel",91
2020-04-20,"HSE North-West","Not specified",85
2020-04-20,"HSE South-East","Foreign travel",5
2020-04-20,"HSE South-East","No Foreign travel",3
