"Date","Key","Value"
2020-04-22,"Community transmission",2447
2020-04-22,"Local transmission",4067
2020-04-22,"Possible community transmission",5882
2020-04-22,"Possible local transmission",315
2020-04-22,"Possible travel abroad",172
2020-04-22,"Travel abroad",344
2020-04-22,"Unknown",4193
2020-04-21,"Community transmission",2426
2020-04-21,"Possible community transmission",3950
2020-04-21,"Local transmission",5111
2020-04-21,"Possible local transmission",299
2020-04-21,"Travel abroad",172
2020-04-21,"Possible travel abroad",343
2020-04-21,"Unknown",4138
2020-04-20,"Community transmission",2402
2020-04-20,"Possible community transmission",4702
2020-04-20,"Local transmission",3838
2020-04-20,"Possible local transmission",275
2020-04-20,"Travel abroad",342
2020-04-20,"Possible travel abroad",170
2020-04-20,"Unknown",4142
2020-04-19,"Community transmission",2370
2020-04-19,"Possible community transmission",4463
2020-04-19,"Local transmission",3694
2020-04-19,"Possible local transmission",288
2020-04-19,"Travel abroad",341
2020-04-19,"Possible travel abroad",165
2020-04-19,"Unknown",4143
2020-04-18,"Community transmission",2346
2020-04-18,"Possible community transmission",4460
2020-04-18,"Local transmission",3482
2020-04-18,"Possible local transmission",244
2020-04-18,"Travel abroad",340
2020-04-18,"Possible travel abroad",161
2020-04-18,"Unknown",4152
2020-04-17,"Community transmission",2310
2020-04-17,"Possible community transmission",4363
2020-04-17,"Local transmission",3176
2020-04-17,"Possible local transmission",216
2020-04-17,"Travel abroad",340
2020-04-17,"Possible travel abroad",159
2020-04-17,"Unknown",4038
2020-04-16,"Community transmission",2235
2020-04-16,"Possible community transmission",2906
2020-04-16,"Local transmission",4085
2020-04-16,"Possible local transmission",182
2020-04-16,"Travel abroad",156
2020-04-16,"Possible travel abroad",340
2020-04-16,"Unknown",3842
2020-04-15,"Community transmission",2184
2020-04-15,"Possible community transmission",2681
2020-04-15,"Local transmission",3768
2020-04-15,"Possible local transmission",143
2020-04-15,"Travel abroad",151
2020-04-15,"Possible travel abroad",338
2020-04-15,"Unknown",3747
2020-04-14,"Community transmission",2090
2020-04-14,"Possible community transmission",2399
2020-04-14,"Local transmission",3622
2020-04-14,"Possible local transmission",134
2020-04-14,"Travel abroad",144
2020-04-14,"Possible travel abroad",336
2020-04-14,"Unknown",3700
2020-04-13,"Community transmission",1961
2020-04-13,"Possible community transmission",2127
2020-04-13,"Local transmission",3222
2020-04-13,"Possible local transmission",96
2020-04-13,"Travel abroad",139
2020-04-13,"Possible travel abroad",335
2020-04-13,"Unknown",3381
2020-04-11,"Community transmission",1665
2020-04-11,"Possible community transmission",2722
2020-04-11,"Local transmission",1705
2020-04-11,"Possible local transmission",87
2020-04-11,"Travel abroad",331
2020-04-11,"Possible travel abroad",117
2020-04-11,"Unknown",2857
2020-04-10,"Community transmission",1610
2020-04-10,"Possible community transmission",2398
2020-04-10,"Local transmission",1509
2020-04-10,"Possible local transmission",79
2020-04-10,"Travel abroad",330
2020-04-10,"Possible travel abroad",117
2020-04-10,"Unknown",2453
2020-04-09,"Community transmission",1523
2020-04-09,"Possible community transmission",2162
2020-04-09,"Local transmission",1406
2020-04-09,"Possible local transmission",64
2020-04-09,"Travel abroad",330
2020-04-09,"Possible travel abroad",116
2020-04-09,"Unknown",2183
2020-04-08,"Community transmission",1452
2020-04-08,"Possible community transmission",1987
2020-04-08,"Local transmission",1258
2020-04-08,"Possible local transmission",52
2020-04-08,"Travel abroad",326
2020-04-08,"Possible travel abroad",115
2020-04-08,"Unknown",1881
2020-04-07,"Community transmission",1381
2020-04-07,"Possible community transmission",1759
2020-04-07,"Local transmission",1113
2020-04-07,"Possible local transmission",37
2020-04-07,"Travel abroad",324
2020-04-07,"Possible travel abroad",110
2020-04-07,"Unknown",1720
2020-04-06,"Community transmission",1243
2020-04-06,"Possible community transmission",1672
2020-04-06,"Local transmission",963
2020-04-06,"Possible local transmission",33
2020-04-06,"Travel abroad",323
2020-04-06,"Possible travel abroad",101
2020-04-06,"Unknown",1646
2020-04-05,"Community transmission",1081
2020-04-05,"Possible community transmission",1597
2020-04-05,"Local transmission",856
2020-04-05,"Possible local transmission",35
2020-04-05,"Travel abroad",314
2020-04-05,"Possible travel abroad",92
2020-04-05,"Unknown",1618
2020-04-04,"Community transmission",1028
2020-04-04,"Possible community transmission",1222
2020-04-04,"Local transmission",765
2020-04-04,"Possible local transmission",31
2020-04-04,"Travel abroad",321
2020-04-04,"Possible travel abroad",89
2020-04-04,"Unknown",1460
2020-04-03,"Community transmission",981
2020-04-03,"Possible community transmission",996
2020-04-03,"Local transmission",720
2020-04-03,"Possible local transmission",30
2020-04-03,"Travel abroad",311
2020-04-03,"Possible travel abroad",88
2020-04-03,"Unknown",1317
2020-04-02,"Community transmission",947
2020-04-02,"Possible community transmission",793
2020-04-02,"Local transmission",657
2020-04-02,"Possible local transmission",29
2020-04-02,"Travel abroad",311
2020-04-02,"Possible travel abroad",84
2020-04-02,"Unknown",1193
2020-04-01,"Community transmission",865
2020-04-01,"Possible community transmission",668
2020-04-01,"Local transmission",561
2020-04-01,"Possible local transmission",20
2020-04-01,"Travel abroad",311
2020-04-01,"Possible travel abroad",79
2020-04-01,"Unknown",1151
2020-03-31,"Community transmission",791
2020-03-31,"Possible community transmission",516
2020-03-31,"Local transmission",497
2020-03-31,"Possible local transmission",17
2020-03-31,"Travel abroad",307
2020-03-31,"Possible travel abroad",77
2020-03-31,"Unknown",1077
2020-03-30,"Community transmission",732
2020-03-30,"Possible community transmission",519
2020-03-30,"Local transmission",414
2020-03-30,"Possible local transmission",27
2020-03-30,"Travel abroad",303
