"Date","Key 1","Key 2","Key 3","Value","HSE area","Key"
2020-05-28,"Sex","Male",NA,10601,NA,NA
2020-05-28,"Sex","Female",NA,14235,NA,NA
2020-05-28,"Sex","Unknown Sex",NA,34,NA,NA
2020-05-27,"Sex","Male",NA,10589,NA,NA
2020-05-27,"Sex","Female",NA,14214,NA,NA
2020-05-27,"Sex","Unknown Sex",NA,34,NA,NA
2020-05-26,"Sex","Male",NA,10575,NA,NA
2020-05-26,"Sex","Female",NA,14186,NA,NA
2020-05-26,"Sex","Unknown Sex",NA,34,NA,NA
2020-05-25,"Sex","Male",NA,10548,NA,NA
2020-05-25,"Sex","Female",NA,14145,NA,NA
2020-05-25,"Sex","Unknown Sex",NA,37,NA,NA
2020-05-24,"Sex","Male",NA,10510,NA,NA
2020-05-24,"Sex","Female",NA,14081,NA,NA
2020-05-24,"Sex","Unknown Sex",NA,38,NA,NA
2020-05-23,"HSE area","HSE East",NA,13927,NA,NA
2020-05-23,"HSE area","HSE Midlands",NA,1678,NA,NA
2020-05-23,"HSE area","HSE Mid-West",NA,1353,NA,NA
2020-05-23,"HSE area","HSE North-East",NA,2882,NA,NA
2020-05-23,"HSE area","HSE North-West",NA,689,NA,NA
2020-05-23,"HSE area","HSE South-East",NA,970,NA,NA
2020-05-23,"HSE area","HSE South",NA,1746,NA,NA
2020-05-23,"HSE area","HSE West",NA,1348,NA,NA
2020-05-23,"Sex","Female",NA,14070,NA,NA
2020-05-23,"Sex","Male",NA,10484,NA,NA
2020-05-23,"Sex","Unknown Sex",NA,39,NA,NA
2020-05-22,"HSE area","HSE East",NA,13926,NA,NA
2020-05-22,"HSE area","HSE Midlands",NA,1677,NA,NA
2020-05-22,"HSE area","HSE Mid-West",NA,1349,NA,NA
2020-05-22,"HSE area","HSE North-East",NA,2878,NA,NA
2020-05-22,"HSE area","HSE North-West",NA,689,NA,NA
2020-05-22,"HSE area","HSE South-East",NA,970,NA,NA
2020-05-22,"HSE area","HSE South",NA,1736,NA,NA
2020-05-22,"HSE area","HSE West",NA,1344,NA,NA
2020-05-22,"Sex","Female",NA,14064,NA,NA
2020-05-22,"Sex","Male",NA,10468,NA,NA
2020-05-22,"Sex","Unknown Sex",NA,37,NA,NA
2020-05-21,"HSE area","HSE East",NA,13876,NA,NA
2020-05-21,"HSE area","HSE Midlands",NA,1672,NA,NA
2020-05-21,"HSE area","HSE Mid-West",NA,1346,NA,NA
2020-05-21,"HSE area","HSE North-East",NA,2855,NA,NA
2020-05-21,"HSE area","HSE North-West",NA,689,NA,NA
2020-05-21,"HSE area","HSE South-East",NA,952,NA,NA
2020-05-21,"HSE area","HSE South",NA,1728,NA,NA
2020-05-21,"HSE area","HSE West",NA,1333,NA,NA
2020-05-21,"Sex","Female",NA,13996,NA,NA
2020-05-21,"Sex","Male",NA,10418,NA,NA
2020-05-21,"Sex","Unknown Sex",NA,37,NA,NA
2020-05-20,"HSE area","HSE East",NA,13834,NA,NA
2020-05-20,"HSE area","HSE Midlands",NA,1670,NA,NA
2020-05-20,"HSE area","HSE Mid-West",NA,1347,NA,NA
2020-05-20,"HSE area","HSE North-East",NA,2834,NA,NA
2020-05-20,"HSE area","HSE North-West",NA,689,NA,NA
2020-05-20,"HSE area","HSE South-East",NA,948,NA,NA
2020-05-20,"HSE area","HSE South",NA,1706,NA,NA
2020-05-20,"HSE area","HSE West",NA,1323,NA,NA
2020-05-20,"Sex","Female",NA,13936,NA,NA
2020-05-20,"Sex","Male",NA,10375,NA,NA
2020-05-20,"Sex","Unknown Sex",NA,40,NA,NA
2020-05-19,"HSE area","HSE East",NA,13803,NA,NA
2020-05-19,"HSE area","HSE Midlands",NA,1666,NA,NA
